게임이름,게임순위,총 평가,긍정적인 평가 비율,출시일,앞서 해보기 출시 일자,app_id
Onmyoji,1601,3009,82,"19 Apr, 2018",,551170
白昼梦 · 心象病院,1602,182,89,"6 Jan, 2024",,1465710
Tape to Tape,1603,2732,92,"3 May, 2023","3 May, 2023",1566200
The Dungeon Of Naheulbeuk: The Amulet Of Chaos,1604,6426,88,"17 Sep, 2020",,970830
Cyber Manhunt 2: New World - The Hacking Simulator,1605,3897,92,"21 Jan, 2025","10 May, 2024",2421410
Bloobs Adventure Idle,1606,299,85,"15 Jul, 2024","15 Jul, 2024",2942780
Roots of Pacha,1607,3178,93,"26 Apr, 2023",,1245560
Dungeon Alchemist,1608,2101,94,"31 Mar, 2022","31 Mar, 2022",1588530
Dead Monarchy,1609,124,82,"19 May, 2023","19 Jun, 2019",1037940
Gatewalkers (Alpha),1610,798,83,"25 Jun, 2020",,1341330
NEODUEL: Backpack Monsters,1611,329,82,"30 Sep, 2024",,2693940
Monkey King Simulator -- Chapter Huaguo Mountain,1612,136,88,"12 Oct, 2021",,1765150
BeYourCat,1613,245,83,"16 Sep, 2024",,2959670
Emily is Away Too,1614,5089,94,"27 May, 2017",,523780
Entropy Survivors,1615,297,81,"5 Dec, 2024",,2602030
-The Sacrificial Girl of the Fantasy 3 Kingdoms-,1616,191,84,"25 Feb, 2022",,1240480
Emily is Away <3,1617,5438,92,"16 Apr, 2021",,978460
Heroine Anthem Zero 2 : Scalescars Oath,1618,724,81,"22 Feb, 2022","5 Jun, 2019",787850
The Alliance Alive HD Remastered,1619,233,82,"17 Jan, 2020",,1027250
State of Decay: YOSE,1620,9773,82,"28 Apr, 2015",,329430
Osteoblasts,1621,125,84,"12 Feb, 2021",,1450650
Union of Gnomes: Prologue,1622,288,82,"23 May, 2024",,2960560
异世界生存指南,1623,232,82,"11 Feb, 2025",,3074020
LIFE EFFECT,1624,188,86,"14 Feb, 2025","14 Feb, 2025",2191050
Epistory - Typing Chronicles,1625,3876,94,"30 Mar, 2016",,398850
LISA: The First,1626,306,83,"21 Mar, 2024",,2743030
Eternal Dread 3,1627,269,84,"10 Mar, 2023",,1583500
Bygone Dreams: Prophecy,1628,120,86,"6 May, 2025",,3493780
Buddy Simulator 1984,1629,3526,94,"19 Feb, 2021",,1269950
How to Build a Magnificent Kingdom,1630,356,80,"27 Aug, 2022",,1198850
House of Lizards,1631,326,85,"16 Dec, 2023",,2230070
The Amber Throne,1632,175,81,"6 Jul, 2015",,382380
ANEURISM IV,1633,2280,88,"11 Mar, 2025",,2773280
Realm Grinder,1634,7089,87,"16 Jun, 2017",,610080
Catmaze,1635,520,84,"24 May, 2018",,620220
Endless Sky,1636,6640,92,"30 Oct, 2015",,404410
Sword of the Necromancer - Prologue,1637,303,86,"4 Nov, 2020",,1455590
METAL DOGS,1638,748,82,"24 Mar, 2023","25 Aug, 2021",1036740
Stygian: Outer Gods,1639,220,85,"15 Apr, 2025","15 Apr, 2025",2581410
Redemption of Liuyin,1640,131,87,"24 Mar, 2025",,3306400
Sylphy and the Sleepless Island,1641,156,88,"9 Oct, 2021",,1342040
Last Group Out,1642,299,80,"18 Feb, 2022",,1843730
Crashlands,1643,5120,90,"21 Jan, 2016",,391730
Girlfriend Rescue,1644,131,80,"11 Jul, 2015",,332400
Candice DeBébé's Incredibly Trick Lifestyle,1645,130,90,"23 Mar, 2016",,453790
Captain Bones: Prologue,1646,548,86,"24 Jul, 2021",,1671600
Young Souls,1647,450,84,"10 Mar, 2022",,985900
Blood West,1648,4472,90,"6 Dec, 2023","11 Feb, 2022",1587130
Crown Champion: Legends of the Arena,1649,190,83,"22 Oct, 2016",,527710
Pixel Dungeon VR: Prologue,1650,204,87,"27 Sep, 2024",,3194310
Mech Armada,1651,594,80,"17 Jun, 2022","10 Aug, 2021",1389360
Kristala,1652,150,82,"7 Jun, 2024","7 Jun, 2024",1206410
The Adventure of Magical Girl,1653,121,84,"22 Jun, 2018",,852790
Dungeon Mage,1654,141,87,"20 Dec, 2023",,2333420
Din's Curse,1655,213,85,"31 Mar, 2010",,217290
Ten Trials of Babel: The Doppelganger Maze,1656,3981,93,"14 Mar, 2022",,1900340
DeathSpank: Thongs of Virtue,1657,187,86,"1 Dec, 2010",,18050
Lunacid - Tears of the Moon,1658,516,80,"13 Apr, 2025",,3506110
PickCrafter,1659,6890,86,"14 Dec, 2017",,734750
螢幕判官 Behind the Screen,1660,232,83,"4 Apr, 2018",,821560
UnEpic,1661,5226,90,"25 Jul, 2014",,233980
Hammerwatch Anniversary Edition,1662,168,80,"16 Aug, 2023",,1905530
Sonar Shock,1663,187,86,"24 May, 2024",,2673660
Sins Of The Demon RPG,1664,848,83,"14 May, 2016",,461640
At Home Alone II,1665,211,86,"9 Aug, 2019",,1120360
Yokai's Secret,1666,6503,89,"6 Feb, 2020",,1146630
My Vow to My Liege,1667,3695,93,"22 Sep, 2020",,1146970
GunSuit Guardians,1668,207,87,"31 Mar, 2023","31 Mar, 2023",2278830
Tornado: Research and Rescue,1669,216,82,"29 May, 2023","29 May, 2023",2250550
Mosaique Neko Waifus 4,1670,4338,94,"13 Feb, 2021",,1504020
Zombie Shooter 2,1671,488,80,"23 Sep, 2009",,33180
Space Pilgrim Episode IV: Sol,1672,343,90,"4 Mar, 2016",,446640
Confess My Love,1673,4739,93,"20 May, 2017",,637850
SteamWorld Heist,1674,3901,94,"7 Jun, 2016",,322190
At Dead Of Night,1675,2638,93,"19 Nov, 2020",,1450830
Magicbook AutoBattler: Contract,1676,173,80,"29 Mar, 2025",,3521320
Wigmund,1677,669,81,"28 Mar, 2022","26 Feb, 2021",1164690
SPORE™ Galactic Adventures,1678,6730,88,"23 Jun, 2009",,24720
Bear and Breakfast,1679,4179,90,"28 Jul, 2022",,1136370
Labyrinth Of The Demon King,1680,870,93,"14 May, 2025",,1804010
修仙•母珠传 Pig Training Legend,1681,129,84,"4 Dec, 2024",,3262320
Gnomes and Knights,1682,293,81,"3 Oct, 2024",,3107880
Have a Nice Dream,1683,4622,92,"24 May, 2021",,1625080
Rebel Galaxy,1684,6969,85,"21 Oct, 2015",,290300
Home Behind 2,1685,6319,87,"16 Feb, 2022","22 Jan, 2021",1220010
Meadow - A Shelter Game,1686,5032,90,"26 Oct, 2016",,486310
Hero of the Kingdom,1687,3439,94,"20 Dec, 2012",,259550
Devious Dungeon,1688,274,83,"17 Aug, 2019",,1059880
～Daydream～When butterflies dance,1689,174,81,"27 May, 2022",,1966070
Styx: Master of Shadows,1690,8654,83,"8 Oct, 2014",,242640
5089: The Action RPG,1691,296,82,"4 Feb, 2016",,414510
Time Warpers,1692,483,83,"17 Jan, 2020","3 Nov, 2018",676500
Slash or Die,1693,148,85,"4 Jun, 2016",,480480
风信楼,1694,3323,94,"14 Oct, 2021","23 May, 2020",1126310
Watcher Chronicles,1695,127,83,"19 Jan, 2022",,1264880
Sonny Legacy Collection,1696,227,92,"30 Sep, 2024",,2757720
SUNLESS SEA,1697,7401,83,"6 Feb, 2015",,304650
The Morrigan,1698,241,85,"31 Mar, 2020","29 Mar, 2019",985260
Nine Treasures of Liuyin,1699,227,81,"2 Aug, 2024",,2949580
Magicka 2,1700,9121,82,"27 May, 2015",,238370
A Bird Story,1701,7683,85,"7 Nov, 2014",,327410
The Bridge Curse Road to Salvation,1702,2451,90,"25 Aug, 2022",,1611430
Endlanders : First Encounter,1703,227,81,"4 Jun, 2022",,2010450
Chernobylite Complete Edition,1704,11387,82,"28 Jul, 2021","17 Oct, 2019",1016800
Hobo: Tough Life,1705,7575,84,"13 Apr, 2021","26 Jul, 2017",632300
Mana Spark,1706,462,80,"27 Sep, 2018",,630720
PULSAR: Lost Colony,1707,4304,89,"23 Jun, 2021","16 Sep, 2015",252870
Evoland Legendary Edition,1708,1229,82,"7 Feb, 2019",,1020470
Don't open the doors!,1709,273,84,"11 Nov, 2016",,533950
Swordcery: Prologue,1710,129,81,"9 Oct, 2021",,1764050
9th Dawn II,1711,156,82,"18 Oct, 2016",,279070
Wytchwood,1712,3320,92,"10 Dec, 2021",,729000
Costume Quest,1713,2435,94,"15 Oct, 2011",,115100
