game_appid,game_name,total_review,total_review_positive,eng_review,eng_review_positive,released_date,early_access_release_date
1377360,Vampires' Melody,5213,97,430,93,20201002000000,
307880,Savage Lands,4183,56,4416,52,20211216000000,20150305000000
436290,Children of Zodiarcs,344,69,393,68,20170718000000,
1636710,The Brew Barons,722,78,620,76,20240301000000,
643810,Fugl,557,84,424,86,20170914000000,
427410,Abiotic Factor,23018,96,20209,97,20240502000000,20240502000000
2445690,Lost Castle 2,6720,77,707,90,20240724000000,20240724000000
211820,Starbound,86376,90,73908,88,20160722000000,
391280,Epic Manager - Create Your Own Adventuring Agency!,181,62,204,64,20161212000000,
844050,Desert Child,75,76,237,54,20181211000000,
302270,Dungeon Defenders Eternity,1350,48,1215,45,20140722000000,
1942280,Brotato,92345,96,26383,96,20230623000000,20220927000000
1249800,Xuan-Yuan Sword VII,8394,62,305,77,20201028000000,
2917350,Spin Hero,479,77,204,80,20241008000000,
695100,Smoke and Sacrifice,253,79,227,74,20180531000000,
566090,The Bard's Tale IV: Barrows Deep,683,65,1072,68,20180918000000,
238750,Might & Magic X - Legacy,3045,65,1770,64,20140123000000,
242840,In Verbis Virtus,1458,78,492,76,20150403000000,
279720,The I of the Dragon,420,72,349,63,20040310000000,
355840,Survarium,25455,54,7381,52,20150402000000,
2305840,Cat Quest III,2342,94,1067,95,20240808000000,
290650,Time Ramesside (A New Reckoning),85,36,242,18,20150501000000,
1420050,Loot Grind Simulator,372,80,270,77,20201014000000,
396640,TowerClimb,295,89,340,92,20150922000000,
409590,KINGDOMS,3941,73,2432,70,20151023000000,
1048100,Peekaboo,2822,79,1039,80,20190807000000,20190329000000
232050,Eador. Masters of the Broken World,1615,67,1217,61,20130419000000,
2788310,Twilight Survivors,863,89,269,94,20240401000000,
1400970,The Elder Scrolls Online - Blackwood,462,49,269,47,20210601000000,
1184820,Poker Quest: Swords and Spades,641,86,542,86,20221114000000,20210720000000
506140,Shop Heroes,3677,66,1204,63,20160815000000,
7110,Jade Empire: Special Edition,1754,75,1603,74,20070227000000,
877810,Anodyne 2: Return to Dust,624,94,693,94,20190812000000,
421810,OH! RPG!,267,61,245,74,20151211000000,
414530,Skyforge,4334,59,2324,54,20170413000000,
1989270,Slay the Princess — The Pristine Cut,22470,97,18601,97,20231023000000,
858060,Idle Heist,327,28,207,29,20180608000000,
928990,Undungeon,234,66,225,61,20211118000000,
345350,LIGHTNING RETURNS: FINAL FANTASY XIII,3767,79,2420,79,20151210000000,
1175460,Revita,1617,84,1117,89,20220421000000,20210303000000
1069640,This Land Is My Land,4064,68,2745,68,20211020000000,20191120000000
1189230,Door in the Woods,232,78,216,76,20191204000000,
977720,Starpoint Gemini 3,731,50,548,51,20201105000000,20190905000000
269190,Edge Of Eternity,3191,73,2009,72,20210608000000,20181205000000
1074070,Dust to the End,1012,79,280,78,20210811000000,20200929000000
484950,恶魔迷宫 | Evil Maze,811,76,259,60,20160617000000,
1722860,Munchkin Digital,1127,77,738,70,20230309000000,20221201000000
215080,WAKFU,10237,75,3887,67,20140918000000,
17450,Dragon Age: Origins,10528,91,3688,90,20091106000000,
1920490,The Outer Worlds: Spacer's Choice Edition,1531,70,2581,73,20230308000000,
1656780,Hero's Hour,4364,79,2891,81,20220301000000,
494430,Praey for the Gods,2326,83,1549,79,20211214000000,20190131000000
414740,RAID: World War II,2234,63,1757,65,20170926000000,
218820,Mercenary Kings: Reloaded Edition,1177,74,1637,68,20140325000000,
1042780,Pine,1465,72,847,69,20191010000000,
900010,Meeple Station,625,57,650,58,20200410000000,20190117000000
814000,ONE PIECE ODYSSEY,2234,79,1681,81,20230112000000,
407840,Guardians of Orion (Phase 2),2979,53,2431,50,20151201000000,
546430,Pathway,1857,76,1367,75,20190411000000,
600750,Star Trek Timelines,1429,65,985,65,20160114000000,
12710,Overlord: Raising Hell,1765,92,1164,92,20080215000000,
2140650,Harvest Moon: The Winds of Anthos,319,76,251,76,20230927000000,
417990,Major\Minor,426,80,359,78,20151207000000,
1121560,Atelier Ryza: Ever Darkness & the Secret Hideout,7138,86,2145,88,20191028000000,
712840,King Exit,6818,95,231,79,20171019000000,
940310,Corpse Party 2: Dead Patient,331,71,256,69,20191023000000,
1124660,STORM AREA 51: AYY LMAO EDITION,846,78,409,78,20190919000000,
260130,Agarest: Generations of War Zero,345,71,266,71,20140417000000,
240320,Panzar,5145,65,1167,50,20130412000000,
295710,Darkwind: War on Wheels,468,51,321,57,20140822000000,
619780,The Swords of Ditto: Mormo's Curse,1778,62,986,64,20180424000000,
623280,Dungeons & Dragons: Dark Alliance,4708,49,3467,49,20210622000000,
1072150,Hedon Bloodrite,1515,94,1637,92,20190516000000,
39120,RIFT,11239,74,7201,73,20131024000000,
299740,Miscreated,23084,66,15295,63,20181218000000,
601540,Veil of Crows,457,51,356,49,20181018000000,
1069660,Ultimate Admiral: Dreadnoughts,5943,64,4862,61,20230125000000,20211210000000
290470,Onigiri,1162,70,700,71,20190328000000,
997070,Marvel's Avengers - The Definitive Edition,34089,66,16819,66,20200905000000,
412450,The Black Death,2218,52,1407,51,20160419000000,
699670,Feudal Alloy,788,69,279,67,20190117000000,
559100,Phantom Doctrine,3651,74,2468,74,20180814000000,
690530,灵魂筹码 Soul at Stake,6596,74,235,56,20180625000000,
212070,Star Conflict,14847,73,6088,69,20130227000000,
1162130,Windbound,962,59,688,61,20200828000000,
455440,Spell Fighter VR,375,68,299,69,20160301000000,
1504570,Cultivation Tales,12577,38,237,63,20240417000000,20220414000000
633080,Relic Hunters Legend,978,63,414,85,20230925000000,20230925000000
409720,BioShock 2 Remastered,21242,71,13261,69,20160916000000,
1716940,Ancient Gods,271,63,205,60,20220803000000,20211119000000
792220,Paunch,11128,89,5448,91,20191204000000,
844260,Rustler (Grand Theft Horse),1033,79,695,73,20210218000000,20210218000000
1049660,stein.world,854,66,386,61,20190423000000,
1091980,The Bard's Tale IV: Director's Cut,649,78,858,75,20190827000000,
351100,Niffelheim,1783,73,670,61,20180926000000,
1283400,Steelrising,3147,73,2272,72,20220908000000,
607880,Accel World VS. Sword Art Online Deluxe Edition,897,74,364,73,20170912000000,
340170,FINAL FANTASY TYPE-0 HD,2460,60,1748,61,20150819000000,
1587540,Anvil Saga,1396,72,736,66,20231116000000,20220621000000
1623730,Palworld,321663,94,154731,95,20240118000000,20240118000000
716350,Reign of Guilds,832,62,347,58,20240404000000,20240404000000
1433860,The Amazing American Circus,129,62,220,43,20210916000000,
222520,Champions of Regnum,1196,68,510,55,20070524000000,
1266820,Ultimate ADOM - Caverns of Chaos,411,48,333,42,20210825000000,20210218000000
1812910,Great Houses of Calderia,320,65,269,64,20240502000000,20230830000000
812870,Sentinels of Freedom,167,68,246,73,20200416000000,
2183900,"Warhammer 40,000: Space Marine 2",118720,83,96229,86,20240909000000,
31170,Tales of Monkey Island: Complete Season,611,88,506,88,20090707000000,
264300,Guns n Zombies,792,68,366,61,20141030000000,
265470,Even the Ocean,205,85,208,88,20161116000000,
209730,R.A.W. Realms of Ancient War,359,54,380,46,20121011000000,
449040,Jesus Christ RPG Trilogy,30,80,1245,86,20160318000000,
1963210,VALKYRIE ELYSIUM,949,60,522,65,20221111000000,
597820,BIOMUTANT,12615,67,11353,69,20210525000000,
715400,Frozen Flame,2160,63,1138,70,20221117000000,20221117000000
520600,Purrfect Date - Visual Novel/Dating Simulator,154,81,419,60,20171215000000,
2816950,Yaoling: Mythical Journey,2175,91,335,96,20240715000000,20240715000000
279440,Joe Dever's Lone Wolf HD Remastered,560,75,421,72,20141127000000,
889080,Deity Empires,320,88,282,86,20180925000000,
991260,Borderlands 2 VR,975,61,1243,52,20191022000000,
338140,Venetica - Gold Edition,605,79,325,73,20090904000000,
1047010,Synergia,572,88,357,85,20200727000000,
378370,Nomad,4636,60,1813,54,20150626000000,
337270,Ostrich Island,173,82,210,85,20150108000000,
1426490,LOST EPIC,1023,72,213,85,20220727000000,20210605000000
296570,Lords of Xulima,1009,79,706,79,20141114000000,
